conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c20,197043.0,"13th International Conference on Road and Airfield Pavement Technology, ICPT 2023",2023.0,1.0,cp20,proceeding20
c21,197004.0,"5th International Conference on Optoelectronic Science and Materials, ICOSM 2023",2023.0,1.0,cp21,proceeding21
c22,196864.0,"2nd International Conference of Science and Applied Geography, ICoSAG 2022",2022.0,1.0,cp22,proceeding22
c23,196662.0,12th International Conference on Transport Survey Methods,2022.0,1.0,cp23,proceeding23
c24,304889.0,"International Conference on Data Analytics and Management, ICDAM 2023",2023.0,1.0,cp24,proceeding24
c25,196672.0,"ASCE International Conference on Computing in Civil Engineering 2023: Visualization, Information Modeling, and Simulation, i3CE 2023",2023.0,1.0,cp25,proceeding25
c26,196461.0,"2nd International Conference on Electrical, Electronics, and Information Engineering, EEIE 2023",2023.0,1.0,cp26,proceeding26
c27,306809.0,"10th World Hydrogen Technology Convention, WHTTC 2023",2023.0,1.0,cp27,proceeding27
c28,306859.0,"4th International Conference on Data Science and Applications, ICDSA 2023",2023.0,1.0,cp28,proceeding28
c29,306749.0,"5th International Workshop on Dynamic Logic - New Trends and Applications, DaLi 2023",2023.0,1.0,cp29,proceeding29
c30,196726.0,"14th International Particle Accelerator Conference, IPAC 2023",2023.0,1.0,cp30,proceeding30
c31,196602.0,"2023 2nd International Conference on Materials Science and Engineering, CoMSE 2023",2023.0,1.0,cp31,proceeding31
c32,305379.0,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",2023.0,1.0,cp32,proceeding32
c33,306979.0,"6th International Conference on Smart Monitoring, Assessment and Rehabilitation of Civil Structures, SMAR 2022",2021.0,1.0,cp33,proceeding33
c34,196737.0,"4th International Conference on Geology, Mapping, and Remote Sensing, ICGMRS 2023",2023.0,1.0,cp34,proceeding34
c35,306789.0,"1st International Conference on Machine Intelligence for Research and Innovations, MAiTRI 2023",2023.0,1.0,cp35,proceeding35
c36,306999.0,"14th China Academic Conference on Printing and Packaging, CACPP 2023",2023.0,1.0,cp36,proceeding36
c37,196645.0,"15th Innovations in Theoretical Computer Science Conference, ITCS 2024",2024.0,1.0,cp37,proceeding37
c38,196721.0,"2023 2nd International Conference on Mechanical, Aerospace Technology and Materials Application, MATMA 2023",2023.0,1.0,cp38,proceeding38
c39,307069.0,"9th International Conference on Mobile, Secure, and Programmable Networking, MSPN 2023",2023.0,1.0,cp39,proceeding39
c40,306739.0,"International Conference on Applications in Electronics Pervading Industry, Environment and Society, APPLEPIES 2023",2023.0,1.0,cp40,proceeding40
c41,306799.0,"16th International Conference on Cloud Computing, CLOUD 2023 held as Part of the Services Conference Federation, SCF 2023",2023.0,1.0,cp41,proceeding41
c42,196654.0,"1st Conference on Parsimony and Learning, CPAL 2024",2024.0,1.0,cp42,proceeding42
c43,196395.0,"14th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 13th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH 2023",2023.0,1.0,cp43,proceeding43
c44,196396.0,"1st International Conference on New Materials for Environment and Energy, NMEE 2023",2023.0,1.0,cp44,proceeding44
c45,196457.0,"2023 International Conference on Algorithm, Imaging Processing, and Machine Vision, AIPMV 2023",2023.0,1.0,cp45,proceeding45
c46,306509.0,"10th World Hydrogen Technology Convention, WHTC 2023",2023.0,1.0,cp46,proceeding46
c47,306629.0,"29th International Conference on Information and Software Technologies, ICIST 2023",2023.0,1.0,cp47,proceeding47
c48,306639.0,"5th International Conference on Computer Science and Educational Informatization, CSEI 2023",2023.0,1.0,cp48,proceeding48
c49,306529.0,"4th EAI International Conference on Cognitive Computing and Cyber Physical Systems, IC4S 2023",2023.0,1.0,cp49,proceeding49
