year,proceedingID,proceedingTitle,name
2023.0,cp63,proceeding63,"6th China Aeronautical Science and Technology Conference, CASTC 2023"
2023.0,cp64,proceeding64,"16th Annual International Conference on Combinatorial Optimization and Applications, COCOA 2023"
2023.0,cp65,proceeding65,"16th International Conference on Verification and Evaluation of Computer and Communication Systems, VECoS 2023"
2023.0,cp66,proceeding66,"25th International Conference on Human-Computer Interaction, HCII 2023"
2023.0,cp67,proceeding67,"38th CCF National Conference of Computer Applications, CCF NCCA 2023"
2023.0,cp68,proceeding68,"1st International Conference on Artificial Intelligence of Things, ICAIoT 2023"
2023.0,cp69,proceeding69,"International Conference on Water Reactor Fuel Performance Meeting, WRFPM 2023"
2021.0,cp70,proceeding70,"2nd International Conference on Big Data, Machine Learning, and Applications, BigDML 2021"
2023.0,cp71,proceeding71,"8th International Conference on Emerging Research in Computing, Information, Communication and Applications, ERCICA 2023"
2023.0,cp72,proceeding72,"9th International Symposium on Dependable Software Engineering: Theories, Tools and Applications, SETTA 2023"
2023.0,cp73,proceeding73,"3rd International Conference on Micro and Nanoelectronics Devices, Circuits and Systems, MNDCS 2023"
2023.0,cp74,proceeding74,"3rd International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability, ARTIIS 2023"
2023.0,cp75,proceeding75,"4th International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2023"
2023.0,cp76,proceeding76,"36th Australasian Joint Conference on Artificial Intelligence, AJCAI 2023"
2023.0,cp77,proceeding77,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023"
2024.0,cp78,proceeding78,"14th China Satellite Navigation Conference, CSNC 2024"
2023.0,cp79,proceeding79,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023"
2023.0,cp80,proceeding80,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023"
2023.0,cp81,proceeding81,"11th Chinese National Conference on Social Media Processing, SMP 2023"
2023.0,cp82,proceeding82,"1st International Conference on AI-generated Content, AIGC 2023"
2023.0,cp83,proceeding83,"8th International Workshop on Advanced Computational Intelligence and Intelligent Informatics, IWACIII 2023"
2022.0,cp84,proceeding84,"19th International Conference on Computing in Civil and Building Engineering, ICCCBE 2022"
2022.0,cp85,proceeding85,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022"
2023.0,cp86,proceeding86,"14th International Conference on Technology of Plasticity, ICTP 2023"
2023.0,cp87,proceeding87,"12th International Symposium on Intelligent Manufacturing and Service Systems, IMSS 2023"
2023.0,cp88,proceeding88,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023"
2023.0,cp89,proceeding89,"32nd International Conference on Flexible Automation and Intelligent Manufacturing, FAIM 2023"
2022.0,cp90,proceeding90,"4th International Scientific Conference of Alkafeel University, ISCKU 2022"
2022.0,cp91,proceeding91,"2nd International Conference and Exposition on Mechanical, Material, and Manufacturing Technology, ICE3MT 2022"
2023.0,cp92,proceeding92,"6th International Conference on Algorithms, Computing and Artificial Intelligence, ACAI 2023"
2021.0,cp93,proceeding93,"2021 International Scientific and Practical Conference on Railway Transport and Technologies, RTT 2021"
2022.0,cp94,proceeding94,"2nd International Conference on Emerging Technology Trends in Internet of Things and Computing, TIOTC 2022"
2023.0,cp95,proceeding95,"18th ACM International Symposium on Nanoscale Architectures, NANOARCH 2023"
2023.0,cp96,proceeding96,"SAE 2023 Intelligent and Connected Vehicles Symposium, ICVS 2023"
2023.0,cp97,proceeding97,"3rd International Conference on Applied Mathematics, Modeling and Computer Simulation, AMMCS 2023"
2023.0,cp98,proceeding98,"2nd International Conference on Energy and Green Computing, ICEGC 2023"
