authorID,authorRef,Name
a220,56959593700,Zhang B.
a221,57215822577,Niu R.
a222,58838383600,Lu S.-L.
a223,58772369800,Huang C.
a224,8628797300,Wang M.
a225,55613003000,Tian F.
a226,58838128200,Mao Y.
a227,58759757500,Li T.
a228,55531077200,Burr P.A.
a229,57928511000,Lu H.
a230,58457382600,Guo A.
a231,56016493200,Yen H.-W.
a232,7005271681,Cairney J.M.
a233,57188745139,Chen H.
a234,57193629810,Chen Y.-S.
a235,57205508030,Yang K.
a236,57216511622,Wang Y.
a237,57327929900,Tiw P.J.
a238,57219662274,Wang C.
a239,58908915100,Zou X.
a240,57209332199,Yuan R.
a241,58605643800,Liu C.
a242,57200371667,Li G.
a243,58909221000,Ge C.
a244,58909221100,Wu S.
a245,57190372765,Zhang T.
a246,58834869400,Huang R.
a247,16220981700,Yang Y.
a248,57210246984,Wang B.
a249,57338711900,Wang M.
a250,58310752900,Fan Z.
a251,58906736800,Ma C.
a252,56450285200,Xi S.
a253,58906214000,Chang L.
a254,58906736900,Zhang M.
a255,58511882100,Ling N.
a256,58512611400,Mi Z.
a257,57208922345,Chen S.
a258,56037704900,Leow W.R.
a259,57200617256,Zhang J.
a260,55713255700,Wang D.
a261,56685212800,Lum Y.
a262,57221921072,Yang L.
a263,58894662800,Zou L.
a264,58894462600,Liang T.
a265,57682934100,Han F.
a266,58134198000,Liu Z.
a267,57929530400,Wang C.
a268,57449377400,Wei H.
a269,58870430100,Wang B.
a270,58838865300,Han B.
a271,57193932029,Wu J.
a272,57208184989,Wei Q.
a273,58838609000,Liu F.
a274,58837351100,Cui L.
a275,57206301769,Rueppell O.
a276,55795610600,Xu S.
a277,58857324300,Tao X.
a278,57211966119,Yang Z.
a279,57202287712,Feng J.
a280,57190135145,Jian S.
a281,12799790200,Yang Y.
a282,57217073345,Bates C.T.
a283,55738599100,Wang G.
a284,54882599300,Guo X.
a285,57190093348,Ning D.
a286,54912094800,Kempher M.L.
a287,55878612400,Liu X.J.A.
a288,58879240900,Ouyang Y.
a289,57192366246,Han S.
a290,55503519900,Wu L.
a291,57220178083,Zeng Y.
a292,36544024100,Kuang J.
a293,58611097200,Zhang Y.
a294,57198477366,Zhou X.
a295,56027833200,Shi Z.
a296,58879241000,Qin W.
a297,35273581500,Wang J.
a298,58879397000,Firestone M.K.
